NOP: 1000
NINT: 55
0 35 44
35 72 45
72 108 46
108 142 47
142 202 48
202 229 49
229 259 50
259 294 49
294 343 48
343 373 47
373 423 46
423 461 45
461 500 44
500 535 43
535 563 42
563 620 41
620 661 40
661 696 39
696 743 38
743 784 37
784 821 36
821 859 35
859 901 34
901 948 33
948 988 32
988 1007 31
1007 1038 30
1038 1080 29
1080 1123 28
1123 1176 27
1176 1216 26
1216 1257 25
1257 1294 24
1294 1338 23
1338 1367 22
1367 1393 21
1393 1418 20
1418 1455 19
1455 1495 18
1495 1536 17
1536 1569 16
1569 1612 15
1612 1652 14
1652 1682 13
1682 1717 12
1717 1759 11
1759 1796 10
1796 1824 9
1824 1864 8
1864 1907 7
1907 1945 6
1945 1977 5
1977 2029 4
2029 2064 3
2064 300000 2
1 24 208
2 71 1666
3 82 751
4 48 1928
5 97 264
6 66 2070
7 28 654
8 31 89
9 36 1692
10 45 1423
11 44 360
12 70 252
13 51 1715
14 51 399
15 84 1022
16 26 1760
17 49 1480
18 40 1269
19 48 1445
20 31 1277
21 74 628
22 27 182
23 64 1027
24 47 1007
25 85 1925
26 76 1375
27 64 777
28 81 1256
29 49 61
30 39 560
31 67 1919
32 69 955
33 66 724
34 34 149
35 89 1294
36 79 1745
37 81 1923
38 70 781
39 83 2052
40 90 747
41 92 1856
42 25 86
43 23 295
44 20 2088
45 65 124
46 64 2037
47 51 236
48 76 1280
49 51 840
50 31 1624
51 62 1465
52 26 756
53 88 1380
54 40 918
55 85 1300
56 54 356
57 85 719
58 75 1063
59 31 87
60 84 1580
61 49 1541
62 33 1807
63 50 1131
64 76 521
65 55 1314
66 60 1232
67 25 355
68 47 451
69 50 1392
70 84 153
71 39 1917
72 28 1847
73 59 1265
74 57 712
75 38 1537
76 62 252
77 22 392
78 57 254
79 32 1311
80 77 1742
81 80 1992
82 74 1402
83 29 1201
84 48 1859
85 25 514
86 22 1697
87 43 1678
88 62 62
89 59 962
90 98 953
91 69 513
92 33 764
93 56 845
94 34 393
95 26 2051
96 46 811
97 90 1061
98 83 1688
99 32 950
100 95 1331
101 35 875
102 30 2025
103 72 79
104 33 1754
105 75 175
106 24 1576
107 79 180
108 42 1259
109 99 958
110 21 1776
111 48 250
112 69 1065
113 46 339
114 29 676
115 87 782
116 93 2068
117 89 409
118 95 214
119 40 1582
120 57 142
121 84 566
122 94 601
123 80 1988
124 39 79
125 60 1829
126 55 573
127 62 2088
128 92 920
129 75 1819
130 68 1809
131 68 1298
132 70 1364
133 23 951
134 44 360
135 82 1876
136 89 935
137 31 654
138 58 1546
139 43 2019
140 90 362
141 60 410
142 59 366
143 82 1356
144 91 1653
145 61 897
146 37 362
147 61 1797
148 39 970
149 76 646
150 40 1267
151 58 876
152 51 1211
153 66 149
154 37 2004
155 25 1056
156 99 645
157 66 937
158 83 257
159 55 615
160 49 653
161 60 621
162 31 1636
163 24 1377
164 90 258
165 58 411
166 26 812
167 39 487
168 74 1571
169 93 843
170 28 117
171 81 797
172 38 1082
173 50 576
174 48 317
175 23 2027
176 92 1168
177 89 1107
178 79 929
179 22 1112
180 21 865
181 83 2074
182 97 912
183 69 1222
184 32 813
185 52 216
186 22 1870
187 27 1645
188 49 390
189 96 796
190 28 1593
191 27 455
192 49 1936
193 58 1976
194 61 436
195 35 63
196 77 1885
197 83 106
198 63 1197
199 70 174
200 32 456
201 31 1028
202 35 2003
203 63 1585
204 29 622
205 61 704
206 94 1550
207 56 1306
208 53 1784
209 98 1837
210 22 1371
211 31 1241
212 92 174
213 98 2040
214 49 640
215 75 118
216 96 309
217 52 1469
218 63 708
219 87 253
220 89 811
221 64 1254
222 60 883
223 96 611
224 29 97
225 65 1670
226 38 1899
227 53 1569
228 65 1056
229 51 415
230 35 1811
231 30 1735
232 70 1760
233 90 1141
234 28 601
235 26 37
236 85 1045
237 42 131
238 67 1994
239 23 1476
240 76 1537
241 88 826
242 35 1929
243 27 1024
244 72 989
245 33 603
246 45 1380
247 36 379
248 21 837
249 45 1110
250 39 511
251 78 1618
252 85 1392
253 30 345
254 68 620
255 67 353
256 55 336
257 23 293
258 50 448
259 36 1409
260 50 1839
261 92 532
262 48 2011
263 34 1366
264 67 1651
265 25 2044
266 51 956
267 47 1221
268 27 828
269 89 1073
270 31 333
271 24 1544
272 94 329
273 24 1472
274 21 1288
275 30 1499
276 89 1700
277 92 350
278 88 888
279 97 683
280 47 1621
281 45 1644
282 23 1860
283 49 724
284 66 1890
285 44 1060
286 20 1872
287 68 1253
288 31 1795
289 78 423
290 47 424
291 68 1935
292 93 613
293 35 971
294 78 174
295 42 1975
296 93 799
297 60 270
298 64 623
299 71 1348
300 98 1296
301 77 1635
302 50 577
303 84 198
304 36 567
305 62 1635
306 33 416
307 73 563
308 55 1566
309 99 1784
310 82 1052
311 29 825
312 53 1636
313 75 656
314 70 1588
315 51 121
316 96 1877
317 86 1365
318 85 1557
319 29 914
320 69 757
321 73 1955
322 67 1522
323 58 1417
324 50 1109
325 20 1700
326 61 1338
327 74 1953
328 90 955
329 23 1826
330 41 210
331 29 201
332 53 1624
333 67 958
334 35 1666
335 70 237
336 38 147
337 26 1542
338 95 1932
339 74 473
340 92 201
341 80 776
342 80 1523
343 79 817
344 31 435
345 45 412
346 48 564
347 40 798
348 25 927
349 41 1471
350 68 398
351 61 1112
352 64 400
353 43 817
354 95 1425
355 84 1138
356 97 255
357 98 1323
358 31 1773
359 70 527
360 99 1351
361 25 1902
362 25 1270
363 97 930
364 66 256
365 90 1621
366 76 1935
367 74 1922
368 94 1171
369 34 964
370 37 1433
371 93 235
372 60 306
373 71 1106
374 57 407
375 33 2081
376 96 1149
377 68 1657
378 83 298
379 30 1662
380 52 1956
381 22 403
382 83 1726
383 46 659
384 49 233
385 36 2001
386 60 593
387 97 280
388 91 1547
389 62 1436
390 89 1678
391 21 46
392 80 702
393 85 1037
394 59 981
395 35 1969
396 81 420
397 31 242
398 59 625
399 88 2043
400 34 215
401 52 1536
402 69 326
403 51 572
404 75 1173
405 40 1457
406 25 1331
407 39 450
408 77 472
409 39 785
410 46 1956
411 65 695
412 48 639
413 92 1345
414 94 1723
415 51 1869
416 55 2003
417 42 343
418 79 1497
419 66 966
420 93 489
421 61 1569
422 35 1411
423 98 1806
424 92 568
425 64 1206
426 91 508
427 77 560
428 64 1279
429 64 455
430 89 1971
431 49 2066
432 44 815
433 69 1445
434 91 631
435 73 881
436 29 564
437 46 329
438 24 934
439 67 822
440 60 848
441 24 256
442 99 1984
443 77 1182
444 81 1287
445 66 400
446 82 425
447 39 917
448 39 1043
449 51 1001
450 25 132
451 74 259
452 28 1521
453 25 139
454 20 1617
455 38 853
456 89 271
457 65 1292
458 66 349
459 73 557
460 45 1497
461 80 88
462 77 169
463 40 1645
