NOP: 500
NINT: 12
0 309 7
309 704 8
704 1048 9
1048 1419 10
1419 1748 9
1748 2099 8
2099 2440 7
2440 2951 6
2951 3334 5
3334 3516 4
3516 3774 3
3774 300000 2
1 73 2531
2 30 2492
3 42 3363
4 76 531
5 56 4295
6 81 2969
7 35 3771
8 72 2074
9 51 816
10 88 261
11 56 2443
12 95 1208
13 84 555
14 20 2095
15 32 719
16 77 765
17 80 1550
18 70 2362
19 90 354
20 24 1021
21 28 2394
22 72 3119
23 94 640
24 24 4115
25 85 2674
26 33 580
27 53 856
28 53 346
29 71 3217
30 37 2427
31 76 3780
32 66 3411
33 90 3059
34 83 3948
35 27 2513
36 39 1096
37 23 3753
38 61 3844
39 24 1248
40 43 2401
41 61 3180
42 90 1130
43 83 269
44 50 3525
45 25 1909
46 46 3727
47 53 3817
48 61 4133
49 69 1574
50 97 1575
51 77 4478
52 82 464
53 37 1294
54 33 2534
55 24 3485
56 37 460
57 54 390
58 20 3384
59 48 2879
60 55 3075
61 62 717
62 65 1340
63 47 862
64 25 2585
65 28 1921
66 25 1568
67 52 182
68 71 229
69 62 938
70 62 2340
71 37 4497
72 40 1640
73 88 4029
74 34 3416
75 20 1087
76 24 1583
77 88 3612
78 61 791
79 80 777
80 50 92
81 41 2085
82 49 2761
83 99 894
84 23 1813
85 85 2213
86 27 1463
87 28 4429
88 62 2769
89 31 3886
90 82 3863
91 44 454
92 74 4284
93 36 2497
94 69 4010
95 97 4034
96 57 3783
97 53 4471
98 81 3889
99 48 1933
100 33 2592
101 51 2904
102 96 3599
103 72 3808
104 26 1216
105 39 2287
106 86 1839
107 86 1774
108 25 240
109 71 4299
110 47 4388
111 59 4145
112 98 1483
113 20 233
114 74 1771
115 67 2187
116 84 2213
117 99 3924
118 39 1526
119 76 1335
120 30 3914
121 30 1032
122 33 3950
123 71 3884
124 84 4215
125 27 1623
126 60 787
127 29 3715
128 45 3899
129 48 2475
130 76 1804
131 92 281
132 96 830
133 74 3284
134 91 2346
135 30 279
136 33 1268
137 55 1232
138 69 522
139 78 1383
140 44 355
141 82 4430
142 73 3306
143 22 3081
144 50 2265
145 98 219
146 57 1463
147 21 2984
148 60 1600
149 74 907
150 79 2963
151 24 3788
152 74 3722
153 47 1274
154 40 3173
155 45 4367
156 82 2336
157 88 3764
158 66 3322
159 29 2366
160 27 4192
161 98 374
162 41 698
163 69 392
164 66 3053
165 21 2482
166 51 2871
167 23 1495
168 98 1243
169 33 1526
170 21 1890
171 91 1272
172 81 2905
173 71 2299
174 78 1060
175 24 921
176 45 2264
177 87 3007
178 22 3396
179 36 2446
180 65 1975
181 38 1977
182 67 2223
183 65 3257
184 22 4048
185 48 4444
186 37 1403
187 98 334
188 50 2378
189 88 2910
190 48 4115
191 79 3514
192 58 2194
193 80 3057
194 69 4275
195 99 4125
196 88 2261
197 50 1234
198 49 952
199 41 3848
200 25 2190
201 91 3295
202 82 890
203 80 2422
204 34 4106
205 73 884
206 69 181
207 64 1896
208 71 2710
209 23 2419
210 45 3727
211 62 2650
212 42 3777
213 70 1565
214 41 2588
215 91 2090
216 57 427
217 67 3084
218 69 4358
219 26 4315
220 34 317
221 73 633
222 34 2594
223 74 1099
224 77 1034
225 50 544
226 88 161
227 50 708
228 53 1218
229 50 3083
230 68 897
231 91 2641
232 86 3156
233 26 2659
234 69 4142
235 46 3252
236 38 2900
237 80 2168
238 51 4203
239 65 3411
240 67 4263
241 27 3520
242 22 1041
243 98 4179
244 88 3182
245 80 2396
246 35 1113
247 83 1863
248 76 3384
249 91 297
250 61 503
251 43 3750
252 74 1086
253 91 2580
254 68 1755
255 34 4076
256 30 3780
257 65 120
258 38 4245
259 86 2098
260 34 2940
261 80 783
262 79 3828
263 85 3298
264 76 3985
265 98 2772
266 41 917
267 50 1310
268 39 3100
269 99 406
270 97 4323
271 33 796
272 73 2234
273 63 2983
274 82 3997
275 69 4447
276 73 1068
277 52 1732
278 87 1764
279 21 4453
280 81 981
281 40 2940
282 85 4211
283 30 286
284 23 1852
285 28 2317
286 72 1153
287 88 3819
288 68 1702
289 88 3767
290 98 988
291 66 2574
292 98 963
293 53 1415
294 65 2051
295 46 1339
296 75 4286
297 55 1726
298 92 1611
299 84 257
300 46 2679
301 31 3573
302 45 3100
303 79 3315
304 29 1734
305 87 1402
306 38 899
307 32 4249
308 35 256
309 56 274
310 51 4151
311 65 3022
312 24 674
313 44 3504
314 39 2196
315 22 497
316 70 3695
317 75 993
318 60 2327
319 59 3313
320 21 2887
321 47 2184
322 79 2342
323 74 263
324 22 3061
325 77 773
326 42 1283
327 97 2224
328 98 2722
329 97 859
330 87 4246
331 34 2284
332 35 4130
333 81 2147
334 21 2000
335 70 603
336 43 1965
337 45 1249
338 50 4112
339 95 2977
340 64 813
341 69 4399
342 25 204
343 42 387
344 98 585
345 31 655
346 98 3345
347 90 846
348 62 578
349 24 190
350 25 3962
351 27 3497
352 37 2235
353 82 1979
354 58 3576
355 32 1273
356 47 1968
357 54 3047
358 29 3385
359 63 1676
360 44 3563
361 52 4347
362 62 435
363 36 989
364 50 4120
365 20 2664
366 70 596
367 97 1312
368 73 2550
369 72 3557
370 66 4037
371 21 2475
372 21 765
373 23 1485
374 34 758
375 93 374
376 68 3767
377 39 3840
378 76 2093
379 93 1721
380 83 3747
381 90 1429
382 85 1448
383 43 236
384 33 2978
385 49 3906
386 23 3781
387 51 3852
388 84 1891
389 40 994
390 48 3924
391 91 2692
392 25 1969
393 91 753
394 44 3572
395 66 3104
396 95 904
397 44 1807
398 96 2714
399 81 410
400 69 1520
401 58 3571
402 62 4287
403 87 1154
404 44 2569
405 78 3225
406 67 1032
407 20 2541
408 91 4250
409 86 248
410 28 2835
411 63 2644
412 21 4440
413 98 2031
414 84 840
415 82 3612
416 62 202
417 48 1874
418 77 1876
419 81 4210
