NOP: 500
NINT: 30
0 83 9
83 178 10
178 283 11
283 365 12
365 473 13
473 556 14
556 655 15
655 773 16
773 838 17
838 894 18
894 999 19
999 1068 20
1068 1158 19
1158 1241 18
1241 1346 17
1346 1441 16
1441 1534 15
1534 1618 14
1618 1704 13
1704 1795 12
1795 1870 11
1870 1963 10
1963 2059 9
2059 2146 8
2146 2230 7
2230 2293 6
2293 2411 5
2411 2517 4
2517 2588 3
2588 300000 2
1 61 1092
2 95 235
3 56 173
4 70 367
5 40 386
6 20 186
7 86 559
8 95 1279
9 98 1478
10 72 1118
11 79 1806
12 99 177
13 58 1677
14 51 502
15 98 1127
16 29 1651
17 36 1415
18 23 822
19 40 1108
20 74 2025
21 89 1055
22 99 282
23 84 2253
24 57 1267
25 31 1995
26 87 2317
27 89 544
28 67 395
29 47 1093
30 97 2370
31 46 142
32 29 1362
33 57 944
34 20 949
35 32 354
36 41 89
37 73 1156
38 54 1907
39 45 1105
40 89 210
41 37 2151
42 28 982
43 88 209
44 81 750
45 23 137
46 52 1889
47 35 1893
48 74 1746
49 54 2462
50 29 129
51 23 1504
52 87 2051
53 71 2195
54 97 1387
55 79 1424
56 42 1370
57 29 1489
58 72 1769
59 21 428
60 97 1008
61 46 1463
62 98 1107
63 25 1792
64 82 531
65 35 1192
66 62 927
67 87 819
68 97 1868
69 86 2427
70 42 1358
71 94 1720
72 66 2049
73 54 1820
74 74 453
75 66 77
76 56 1460
77 61 327
78 44 423
79 50 2274
80 21 1603
81 29 2115
82 33 1073
83 90 1489
84 53 1775
85 58 1973
86 82 942
87 45 107
88 35 646
89 87 298
90 79 2075
91 84 176
92 35 69
93 46 632
94 26 2324
95 59 405
96 75 558
97 75 204
98 92 1251
99 24 1759
100 41 2396
101 47 356
102 73 2473
103 86 1043
104 47 1655
105 53 778
106 68 1571
107 69 354
108 41 1970
109 53 1070
110 82 1313
111 86 793
112 21 1653
113 95 1286
114 90 2000
115 87 2167
116 32 1204
117 76 1035
118 85 299
119 46 2424
120 79 2352
121 26 403
122 50 1754
123 41 428
124 84 659
125 38 1101
126 51 1081
127 62 1190
128 21 539
129 46 2140
130 42 2143
131 41 2123
132 40 2197
133 50 469
134 81 2449
135 76 1376
136 49 473
137 61 166
138 25 1778
139 72 690
140 96 1120
141 91 1991
142 76 1546
143 89 267
144 21 1242
145 73 1132
146 98 439
147 77 1770
148 84 983
149 52 1486
150 41 84
151 66 2269
152 37 133
153 40 1023
154 75 1647
155 31 61
156 60 1325
157 66 613
158 79 410
159 36 918
160 98 1005
161 25 2176
162 98 2031
163 35 1495
164 32 1363
165 77 477
166 55 1749
167 56 1892
168 53 2057
169 60 1589
170 21 1158
171 86 775
172 67 844
173 36 1478
174 62 633
175 63 1849
176 68 1155
177 84 1361
178 67 1660
179 77 2398
180 34 206
181 90 940
182 47 386
183 39 2093
184 88 2250
185 93 2063
186 87 2036
187 66 1896
188 67 110
189 25 1541
190 62 1265
191 86 2409
192 75 1822
193 28 396
194 39 978
195 57 1158
196 63 1058
197 29 1739
198 93 872
199 70 2256
200 31 476
201 26 396
202 51 1237
203 75 1362
204 29 995
205 83 730
206 97 1859
207 67 994
208 92 555
209 41 872
210 61 194
211 93 2022
212 70 2239
213 23 217
214 52 2148
215 40 315
216 84 835
217 61 916
218 95 966
219 62 335
220 61 844
221 67 1610
222 30 1395
223 82 2241
224 21 880
225 62 554
226 67 555
227 98 871
228 49 344
229 36 1886
230 47 790
231 95 309
232 43 125
233 58 1883
234 47 1914
235 78 1039
236 59 903
237 45 858
238 29 1137
239 56 739
240 64 1686
241 65 979
242 33 397
243 58 1799
244 72 2410
245 93 1304
246 68 2334
247 43 1908
248 90 2090
249 53 1951
250 62 1596
251 33 2123
252 99 1880
253 95 1205
254 30 2029
255 41 2150
256 86 1862
257 78 1548
258 50 126
259 68 1609
260 84 1628
261 47 1045
262 37 1156
263 51 1203
264 37 189
265 40 1577
266 84 780
267 99 481
268 72 975
269 22 754
270 62 2077
271 49 693
272 35 297
273 64 908
274 68 896
275 78 2246
276 95 272
277 94 1734
278 81 1870
279 63 1870
280 66 1995
281 34 1546
282 64 2253
283 94 2199
284 65 1472
285 24 179
286 96 451
287 72 210
288 57 2030
289 41 681
290 60 2264
291 59 1577
292 56 2217
293 75 832
294 67 631
295 64 120
296 27 676
297 62 1666
298 42 1566
299 56 1346
300 53 1530
301 68 1035
302 99 523
303 27 1037
304 64 701
305 44 1345
306 43 2377
307 81 436
308 60 1151
309 88 2091
310 82 656
311 61 1989
312 96 1937
313 66 2352
314 78 1047
315 62 857
316 96 504
317 25 658
318 72 1730
319 59 1868
320 30 853
321 62 2482
322 44 163
323 96 395
324 67 978
325 38 1700
326 85 442
327 95 2397
328 95 2446
329 75 770
330 21 411
331 41 529
332 31 1989
333 33 923
334 25 187
335 97 1143
336 49 147
337 72 647
338 92 1848
339 95 418
340 68 866
341 82 1393
342 43 876
343 59 69
344 50 392
345 85 973
346 84 990
347 68 2487
348 89 1450
349 67 1474
350 65 1945
351 49 2430
352 71 1195
353 23 1616
354 95 1764
355 58 575
356 39 1711
357 45 497
358 27 2464
359 66 1164
360 42 626
361 92 1412
362 34 1323
363 84 1094
364 51 1458
365 88 661
366 46 1843
367 90 600
368 59 1062
369 26 2291
370 90 2265
371 78 253
372 30 2173
373 67 582
374 93 1945
375 38 1844
376 59 1874
377 82 1278
378 39 813
379 59 111
380 39 59
381 64 721
382 25 1116
383 48 415
384 61 2037
385 61 1314
386 85 611
387 87 2331
388 96 1504
389 36 105
390 77 1404
391 59 1172
392 53 2103
393 77 489
394 61 1114
395 76 967
396 34 331
397 59 1600
398 74 2455
399 26 463
400 78 434
401 87 485
402 22 1462
403 68 1235
404 60 984
405 20 1018
406 97 1783
407 80 1808
408 38 354
409 44 1372
410 29 2193
411 98 768
412 46 1689
413 92 1042
414 96 718
415 80 1517
416 84 1927
417 32 1746
418 75 514
419 51 666
420 42 1677
421 84 2107
422 94 200
423 60 2154
424 59 1631
425 47 1315
426 63 1800
427 71 2468
428 89 1243
429 86 303
430 51 1787
431 23 1519
432 57 209
433 51 769
434 22 182
435 51 977
436 21 2060
437 59 1817
438 53 1022
