NOP: 1000
NINT: 48
0 54 11
54 123 12
123 193 13
193 261 14
261 320 15
320 378 16
378 438 17
438 496 18
496 562 19
562 638 20
638 715 21
715 771 22
771 826 23
826 895 24
895 950 25
950 1013 26
1013 1088 27
1088 1176 28
1176 1258 29
1258 1314 30
1314 1364 29
1364 1442 28
1442 1492 27
1492 1567 26
1567 1637 25
1637 1696 24
1696 1759 23
1759 1831 22
1831 1916 21
1916 1973 20
1973 2063 19
2063 2123 18
2123 2185 17
2185 2257 16
2257 2332 15
2332 2399 14
2399 2463 13
2463 2529 12
2529 2630 11
2630 2719 10
2719 2773 9
2773 2836 8
2836 2884 7
2884 2961 6
2961 3019 5
3019 3081 4
3081 3147 3
3147 300000 2
1 30 348
2 67 2821
3 23 3242
4 52 1382
5 73 2176
6 44 178
7 96 2545
8 61 1190
9 79 1478
10 32 1563
11 36 3174
12 85 1676
13 81 1322
14 67 1200
15 46 3270
16 43 1828
17 20 2791
18 26 722
19 85 3290
20 41 1165
21 91 2050
22 72 2158
23 48 393
24 72 2088
25 23 1859
26 68 2521
27 22 425
28 43 489
29 29 3305
30 75 166
31 32 2886
32 55 764
33 51 87
34 75 2017
35 96 2525
36 39 185
37 22 680
38 55 2057
39 75 893
40 55 2234
41 25 3259
42 70 2908
43 30 2032
44 85 252
45 42 1062
46 58 1288
47 74 2827
48 48 2227
49 47 90
50 92 1703
51 26 741
52 33 2391
53 30 2736
54 26 2153
55 99 3099
56 58 895
57 28 146
58 88 2281
59 21 1869
60 73 3257
61 43 2798
62 37 1183
63 30 1117
64 23 758
65 58 2593
66 89 1125
67 42 1099
68 51 2836
69 46 3228
70 86 2456
71 77 782
72 58 1159
73 80 1776
74 86 2226
75 33 3134
76 68 904
77 20 2579
78 25 2044
79 82 455
80 41 1451
81 93 1407
82 50 200
83 44 3011
84 46 482
85 92 1139
86 84 3032
87 84 3262
88 21 2180
89 50 1363
90 44 223
91 23 1348
92 35 2454
93 67 1843
94 72 1487
95 66 1299
96 42 2000
97 27 46
98 33 1810
99 31 358
100 66 1855
101 79 2078
102 35 897
103 98 2278
104 47 3020
105 54 2079
106 35 3296
107 63 407
108 97 1315
109 82 2709
110 53 502
111 68 2508
112 67 1129
113 54 2427
114 89 1855
115 96 2758
116 86 2829
117 29 3173
118 63 733
119 92 2880
120 83 2108
121 47 835
122 68 1064
123 87 102
124 48 1023
125 53 2108
126 49 992
127 46 1551
128 38 2337
129 34 804
130 22 1057
131 36 2074
132 57 1456
133 77 2279
134 38 1152
135 39 1464
136 97 839
137 89 2405
138 79 1377
139 34 35
140 41 2452
141 40 2561
142 61 413
143 91 2708
144 86 2044
145 26 955
146 60 736
147 79 1033
148 79 1853
149 58 1008
150 84 3018
151 90 850
152 59 3152
153 78 1974
154 82 1039
155 65 1289
156 71 531
157 34 1881
158 47 1136
159 56 1337
160 39 571
161 28 997
162 28 1266
163 31 1729
164 76 1785
165 90 1768
166 95 3162
167 59 3311
168 51 1600
169 52 2494
170 93 335
171 30 560
172 34 2116
173 97 237
174 72 3172
175 58 1192
176 25 993
177 90 1298
178 58 2193
179 71 2693
180 32 2863
181 96 2310
182 61 1856
183 48 1708
184 75 2275
185 77 1718
186 41 804
187 60 811
188 83 147
189 28 664
190 36 1594
191 86 887
192 23 1581
193 56 406
194 30 3047
195 61 1279
196 72 2176
197 73 2659
198 88 2342
199 41 2261
200 30 2192
201 57 754
202 41 645
203 60 2680
204 53 1540
205 91 1051
206 79 731
207 57 1701
208 81 3067
209 81 1427
210 45 1294
211 39 2087
212 83 2401
213 40 1188
214 78 2171
215 20 1319
216 76 1306
217 76 2464
218 80 2350
219 92 2607
220 39 2128
221 83 286
222 89 1260
223 91 192
224 61 2144
225 64 2973
226 22 211
227 39 2359
228 60 2720
229 39 2380
230 99 1768
231 68 151
232 59 2973
233 43 801
234 76 819
235 97 2141
236 88 672
237 57 1110
238 21 2270
239 43 2193
240 85 1912
241 48 2164
242 95 2737
243 97 1535
244 28 2722
245 74 2581
246 66 1858
247 56 2961
248 61 978
249 31 2759
250 60 3051
251 52 2282
252 66 1370
253 92 2867
254 76 1738
255 69 2549
256 91 2286
257 31 1763
258 39 186
259 22 458
260 99 2449
261 40 1216
262 71 110
263 72 3197
264 39 2485
265 52 3161
266 46 1945
267 35 2868
268 89 2929
269 92 1003
270 93 1435
271 42 3008
272 25 2337
273 88 2194
274 38 2982
275 87 557
276 73 2104
277 91 3101
278 50 2591
279 36 1309
280 26 2413
281 85 478
282 76 1573
283 90 2318
284 63 925
285 31 92
286 91 2714
287 88 388
288 78 1648
289 78 1125
290 68 2477
291 55 768
292 66 1488
293 64 985
294 24 1120
295 97 744
296 71 216
297 77 1618
298 38 2625
299 85 429
300 59 1228
301 32 1244
302 92 2285
303 82 668
304 51 2507
305 32 441
306 49 1795
307 73 631
308 68 1787
309 21 2854
310 65 3017
311 24 43
312 86 786
313 41 1870
314 99 2980
315 85 2587
316 76 225
317 76 2316
318 90 2021
319 22 3136
320 55 293
321 33 3193
322 40 2147
323 27 1103
324 33 206
325 89 1753
326 41 1660
327 37 1126
328 46 741
329 46 65
330 91 1918
331 61 1235
332 95 2881
333 86 919
334 45 3040
335 31 3235
336 87 90
337 61 2070
338 50 2607
339 81 922
340 50 763
341 78 726
342 22 2487
343 52 1705
344 61 1906
345 56 403
346 43 784
347 75 2252
348 42 477
349 83 2852
350 54 304
351 59 2942
352 28 650
353 55 2023
354 70 677
355 37 1918
356 92 461
357 23 1578
358 87 3113
359 95 1688
360 66 388
361 92 763
362 26 1826
363 34 1413
364 50 3173
365 28 255
366 34 2968
367 51 1122
368 41 2831
369 54 922
370 63 2235
371 60 304
372 69 1987
373 78 2744
374 67 3165
375 28 3082
376 96 1799
377 82 1940
378 78 2288
379 25 621
380 29 440
381 35 3095
382 66 3063
383 84 283
384 49 1913
385 25 538
386 99 204
387 64 616
388 46 2817
389 65 1764
390 97 2328
391 94 1601
392 82 878
393 47 3070
394 58 159
395 97 2437
396 63 1904
397 50 502
398 80 2702
399 79 2367
400 88 2885
401 98 1724
402 63 315
403 78 1930
404 83 1091
405 26 880
406 70 1754
407 95 655
408 61 913
409 38 823
410 81 3246
411 78 2017
412 64 1802
413 41 3022
414 86 598
415 59 1982
416 61 2512
417 57 517
418 35 467
419 87 1944
420 84 1027
421 23 1346
422 55 1794
423 98 1148
424 46 1285
425 60 1071
426 52 623
427 76 388
428 70 212
429 36 1384
430 56 290
431 91 560
432 31 1439
433 96 1873
434 35 2261
435 70 852
436 65 1604
437 45 2976
438 47 1841
439 46 229
440 88 1477
441 43 3305
442 68 2523
443 88 2726
444 28 300
445 90 2518
446 46 1327
447 84 2857
448 21 812
449 62 965
450 65 3258
451 91 2590
452 75 2806
453 51 1168
454 23 708
455 91 2424
456 68 1251
457 24 2000
458 46 3201
459 49 1609
460 38 1262
461 53 2597
462 44 1788
463 96 1979
464 28 2689
465 73 3303
466 67 413
467 69 3165
468 27 519
469 69 787
470 36 2308
471 44 396
472 23 1108
473 59 1777
474 27 3034
475 47 855
476 55 478
477 94 2326
478 29 2064
479 24 3082
480 95 3196
481 56 1458
482 81 1659
483 96 2513
484 23 1397
485 39 2247
486 66 257
487 47 1984
488 54 2022
489 66 466
490 41 407
491 22 2813
492 76 2086
493 20 2786
494 37 1402
495 57 515
496 21 2315
497 30 3286
498 67 1730
499 56 1375
500 97 2359
501 75 2793
502 49 2717
503 71 2397
504 27 85
505 94 1473
506 30 1851
507 75 1152
508 41 372
509 86 2952
510 56 1795
511 20 2723
512 57 3098
513 82 2273
514 69 3158
515 37 1296
516 45 1477
517 57 3182
518 91 1286
519 36 55
520 68 1873
521 79 2702
522 55 2625
523 43 2506
524 47 1410
525 87 274
526 48 806
527 48 3171
528 44 1225
529 93 2043
530 26 716
531 72 2082
532 76 298
533 37 2188
534 73 2776
535 46 1181
536 90 387
537 27 1699
538 54 1038
539 45 1599
540 40 260
541 27 2765
542 64 1094
543 36 384
544 65 2411
545 75 2633
546 53 2029
547 56 159
548 26 2870
549 65 3051
550 56 584
551 23 3196
552 99 1771
553 70 2652
554 33 2074
555 42 1216
556 40 1300
557 53 1473
558 76 2504
559 51 2218
560 82 1821
561 74 845
562 71 126
563 44 789
564 60 2250
565 82 1803
566 30 2920
567 74 2370
568 55 1793
569 39 1684
570 78 3247
571 28 2643
572 35 1102
573 68 463
574 49 2814
575 85 791
576 75 1760
577 61 1189
578 62 1213
579 82 321
580 37 319
581 47 655
582 60 2566
583 48 2638
584 65 864
585 73 1929
586 63 1886
587 58 1663
588 46 2567
589 29 3126
590 44 803
591 96 2021
592 52 1411
593 45 2170
594 87 991
595 68 598
596 37 1044
597 31 80
598 68 612
599 82 88
600 87 602
601 72 1844
602 69 494
603 54 2621
604 63 3097
605 56 2351
606 36 3126
607 58 485
608 47 2977
609 70 2649
610 99 3284
611 72 236
612 37 1722
613 98 1484
614 22 590
615 63 1538
616 23 965
617 80 1455
618 46 3045
619 95 762
620 75 1989
621 68 2868
622 89 991
623 54 1490
624 93 1872
625 62 2752
626 41 2919
627 49 175
628 31 306
629 64 1337
630 22 1882
631 83 2696
632 64 2485
633 58 3257
634 42 1239
635 62 3123
636 49 889
637 88 1701
638 22 791
639 67 1846
640 39 1696
641 51 1462
642 34 1195
643 34 2731
644 40 1138
645 27 799
646 56 2694
647 37 1125
648 39 3034
649 30 1660
650 35 372
651 89 2532
652 62 1999
653 38 2154
654 81 2661
655 30 1970
656 68 2058
657 92 2220
658 35 770
659 82 507
660 39 1649
661 94 1160
662 33 2455
663 20 408
664 75 1330
665 23 1708
666 31 465
667 83 890
668 33 511
669 91 1868
670 36 2501
671 82 2828
672 55 1945
673 77 1633
674 34 1571
675 49 1841
676 84 1408
677 62 807
678 31 2771
679 35 217
680 52 1838
681 71 161
682 39 2552
683 50 3198
684 96 225
685 68 703
686 60 1702
687 72 2002
688 53 2190
689 73 75
690 96 1818
691 30 2692
692 30 665
693 65 355
694 26 741
695 87 2742
696 22 1113
697 72 2789
698 60 71
699 80 736
700 61 1106
701 82 2915
702 42 2277
703 32 2677
704 21 967
705 65 586
706 71 1392
707 66 2059
708 72 363
709 44 595
710 77 2392
711 79 1651
712 26 1581
713 96 1175
714 73 1643
715 48 3238
716 97 2909
717 54 2790
718 29 2702
719 53 2100
720 87 1640
721 73 1344
722 25 2131
723 58 943
724 81 1315
725 82 149
726 54 214
727 91 2877
728 60 356
729 23 1987
730 57 1819
731 97 2906
732 86 2982
733 24 1413
734 83 2205
735 61 1792
736 81 1603
737 42 1253
738 79 1842
739 58 2520
740 31 3113
741 84 300
742 39 673
743 41 3115
744 99 1846
745 65 1979
746 99 870
747 66 128
748 96 1659
749 46 2738
750 23 2408
751 34 1435
752 61 1772
753 30 826
754 39 1380
755 21 1964
756 93 2545
757 44 3052
758 60 2081
759 25 157
760 42 1412
761 87 579
762 45 432
763 40 645
764 58 1024
765 57 1512
766 31 2662
767 63 1631
768 55 1286
769 87 1253
770 84 2827
771 75 1251
772 72 2885
773 26 2355
774 86 1823
775 20 1033
776 26 1279
777 97 1344
778 37 3016
779 84 2655
780 30 1933
781 91 3108
782 85 1376
783 49 3249
784 48 2751
785 25 384
786 82 890
787 86 1421
788 69 2698
789 37 1082
790 42 1765
791 22 1696
792 47 2266
793 26 3251
794 67 2169
795 24 922
796 63 983
797 46 2902
798 24 1254
799 99 1939
800 70 2438
801 27 3206
802 53 600
803 68 3167
804 24 1346
805 82 897
806 74 2350
807 20 1439
808 48 2155
809 96 584
810 47 1083
811 37 2142
812 75 2526
813 81 395
814 54 1601
815 78 2847
816 84 2101
817 31 2085
818 80 1713
819 70 164
820 29 827
821 44 701
822 42 2317
823 57 206
824 80 3182
825 44 1182
826 66 895
827 81 525
828 91 2800
829 96 2109
830 47 1067
831 32 887
832 21 3199
833 79 96
834 59 364
835 78 1814
836 23 1985
837 58 2309
838 28 424
839 84 2447
840 43 1155
841 56 699
842 93 943
843 67 2660
844 22 3221
845 88 1532
846 45 751
847 93 3075
848 70 2132
849 92 2650
850 48 1288
851 54 1870
852 37 1831
853 67 1034
854 27 1107
855 26 2940
856 63 1803
857 30 1244
858 83 325
859 27 2776
860 99 1163
861 33 511
862 64 2712
863 29 2894
864 79 3213
865 55 2579
866 50 1980
867 90 1154
868 48 1050
869 75 1002
870 32 1914
871 71 3183
872 81 1062
873 61 1121
874 87 612
875 20 224
876 81 356
877 33 2923
878 47 726
879 87 381
880 76 355
881 62 1616
882 48 2234
883 79 508
884 64 911
885 33 3082
886 81 748
887 23 1448
888 27 764
889 43 688
890 28 1005
891 65 1335
892 79 1843
893 54 991
894 60 2240
895 79 3129
896 83 2021
897 22 424
898 72 3287
899 48 1331
900 39 2521
901 92 3208
902 57 1762
903 81 2726
904 33 499
905 28 3235
906 53 713
907 96 275
908 23 1963
909 32 1019
910 38 3093
911 94 2043
912 32 1388
913 46 1582
914 48 1215
915 81 2680
916 96 1872
917 80 2479
918 70 1604
919 84 3146
920 52 2775
921 92 391
922 86 613
923 50 1840
924 91 1233
925 39 1969
926 36 2565
927 28 344
928 75 818
929 86 2273
930 47 2511
931 23 2950
932 71 538
933 50 1769
934 73 3085
935 27 2782
936 40 2081
937 95 1357
938 47 2960
