NOP: 120
NINT: 2
0 949 3
949 300000 2
1 45 2910
2 71 1530
3 74 1801
4 34 2649
5 89 2204
6 45 2095
7 86 1834
8 76 2503
9 59 2019
10 74 2837
11 54 2485
12 26 987
13 67 319
14 86 1068
15 80 1938
16 64 365
17 51 1653
18 91 1652
19 25 2110
20 32 879
21 61 1142
22 60 2209
23 83 992
24 29 1256
25 41 2652
26 92 1001
27 75 744
28 82 1492
29 66 2586
30 47 1767
31 51 1345
32 87 1827
33 60 544
34 51 2064
35 59 421
36 85 1635
37 60 391
38 28 597
39 80 109
40 68 2771
41 26 66
42 46 65
43 78 2381
44 74 2315
45 90 1804
46 99 975
47 47 2390
48 76 852
49 30 1558
50 65 1744
51 41 2463
52 63 1161
53 26 1713
54 58 1021
55 57 732
56 56 2784
57 45 226
58 91 1366
59 81 2203
60 88 2838
61 55 2375
62 86 1515
63 87 1226
64 95 1393
65 84 1384
66 60 1529
67 39 1603
68 36 1737
69 40 618
70 39 1068
71 65 265
72 59 1595
73 59 2517
74 22 249
75 92 2408
76 54 1341
77 72 979
78 88 2185
79 83 2908
80 47 1197
81 25 1547
82 38 1913
83 22 2946
84 98 2683
85 91 2452
86 68 2029
87 68 2453
88 72 2730
89 60 1379
90 29 1104
91 36 1303
92 84 1700
93 97 1256
94 35 2160
95 58 2235
96 93 2743
97 83 2321
98 88 1065
99 71 2969
100 39 1058
101 64 586
102 22 1836
103 58 886
104 74 1170
105 89 1799
106 35 1054
107 26 2830
108 51 2323
109 79 150
110 25 2628
111 48 2390
112 90 2582
113 87 1818
114 52 236
115 93 1526
116 40 1581
117 77 919
118 96 2332
119 21 2697
120 69 1040
